"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 01 23:43:47 GMT 2024","Thu Feb 01 23:43:47 GMT 2024","199","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailAndCurrentAddressInTextBoxFormTest","fillNameAndEmailAndCurrentAddressInTextBoxFormTest(String, String, String) Заполнение полей full name - ""Полное имя"", email - ""test@gmail.com"" и current address - ""Paris, Croissant st, 24/2"" в форме TextBox",""
"broken","Thu Feb 01 23:43:46 GMT 2024","Thu Feb 01 23:43:46 GMT 2024","199","","guru.qa.tests.GitHubIssueTests","","guru.qa.tests.GitHubIssueTests","testLambdaStep","testLambdaStep()",""
"broken","Thu Feb 01 23:43:49 GMT 2024","Thu Feb 01 23:43:49 GMT 2024","198","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailInTextBoxFormTest","fillNameAndEmailInTextBoxFormTest(String, String) Заполнение полей full name - ""Полное имя"" и email - ""test@gmail.com"" в форме TextBox",""
"broken","Thu Feb 01 23:43:56 GMT 2024","Thu Feb 01 23:43:56 GMT 2024","198","","guru.qa.tests.StudentRegistrationFormTests","","guru.qa.tests.StudentRegistrationFormTests","studentRegistrationFormTest","studentRegistrationFormTest()",""
"broken","Thu Feb 01 23:43:48 GMT 2024","Thu Feb 01 23:43:48 GMT 2024","195","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillEmailInTextBoxFormTest","fillEmailInTextBoxFormTest(String) Заполнение поля email значением ""test@gmail.com"" в форме TextBox",""
"broken","Thu Feb 01 23:43:56 GMT 2024","Thu Feb 01 23:43:56 GMT 2024","216","","guru.qa.tests.WikiSelenideTests","","guru.qa.tests.WikiSelenideTests","wikiSelenideTest","wikiSelenideTest()",""
"broken","Thu Feb 01 23:43:48 GMT 2024","Thu Feb 01 23:43:48 GMT 2024","231","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillAllFieldsInTextBoxFormTest","fillAllFieldsInTextBoxFormTest(String, String, String, int) Заполнение полей данными: ""Полное имя"", ""test@gmail.com"", ""Paris, Croissant st, 24/2"", ""25451"" в форме TextBox",""
"broken","Thu Feb 01 23:43:48 GMT 2024","Thu Feb 01 23:43:48 GMT 2024","218","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillAllFieldsInTextBoxFormTest","fillAllFieldsInTextBoxFormTest(String, String, String, int) Заполнение полей данными: ""Имя"", ""test@mail.ru"", ""New-York, Newcomer st, 12/1"", ""45635"" в форме TextBox",""
"broken","Thu Feb 01 23:43:47 GMT 2024","Thu Feb 01 23:43:47 GMT 2024","200","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailAndCurrentAddressInTextBoxFormTest","fillNameAndEmailAndCurrentAddressInTextBoxFormTest(String, String, String) Заполнение полей full name - ""Полнейшее имя"", email - ""test@bigmir.net"" и current address - ""Madrid, Football st, 36/3"" в форме TextBox",""
"passed","Thu Feb 01 23:43:57 GMT 2024","Thu Feb 01 23:43:58 GMT 2024","528","","Работа с файлами","","guru.qa.tests.WorkWithFilesTests","checkPdfFileInZip","Чтение и проверка pdf файла из архива",""
"broken","Thu Feb 01 23:43:46 GMT 2024","Thu Feb 01 23:43:47 GMT 2024","201","","guru.qa.tests.GithubEnterprisePageTests","","guru.qa.tests.GithubEnterprisePageTests","githubEnterprisePageTest","githubEnterprisePageTest()",""
"passed","Thu Feb 01 23:43:49 GMT 2024","Thu Feb 01 23:43:49 GMT 2024","12","","guru.qa.tests.SimpleJUnitTests","","guru.qa.tests.SimpleJUnitTests","firstTest","firstTest()",""
"broken","Thu Feb 01 23:43:48 GMT 2024","Thu Feb 01 23:43:48 GMT 2024","211","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillAllFieldsInTextBoxFormTest","fillAllFieldsInTextBoxFormTest(String, String, String, int) Заполнение полей данными: ""Полнейшее имя"", ""test@bigmir.net"", ""Madrid, Football st, 36/3"", ""65019"" в форме TextBox",""
"broken","Thu Feb 01 23:43:49 GMT 2024","Thu Feb 01 23:43:56 GMT 2024","6340","","guru.qa.tests.StudentRegistrationFormTests","","guru.qa.tests.StudentRegistrationFormTests","minimumFieldsStudentRegistrationFormTest","minimumFieldsStudentRegistrationFormTest()",""
